company_name,status,country,foreign_registration
Nova Enterprises,Inactive,Singapore,UEN:SIBS5CG9RP0
Infinity Solutions,Inactive,Australia,ABN:AUHOKEBR8UT
Infinity Industries,Active,Japan,Corporate Number:JAT13ZKJVYB
Global Exports,Active,Japan,Corporate Number:JAU8189NDPN
Infinity Industries,Active,Singapore,UEN:SI9LTEGTQLJ
Infinity Exports,Active,Canada,BN:CASK4QU97CN
Global Logistics,Inactive,USA,EIN:USVH68LBTV3
Global Solutions,Inactive,Australia,ABN:AU26FJD5SJ6
NextGen Enterprises,Inactive,Australia,ABN:AUJH6QRQOH6
Global Logistics,Active,Australia,ABN:AU3I091LLF6
Alpha Industries,Inactive,UK,CRN:UK1X2WGCZ1X
Prime Exports,Inactive,Australia,ABN:AU8PGNZR60Q
Prime Exports,Active,UK,CRN:UKM6APKQN5Q
Nova Industries,Active,Singapore,UEN:SI1X2COE6AD
Universal Enterprises,Inactive,Canada,BN:CAEJDGVDZ2A
Nova Logistics,Inactive,Singapore,UEN:SIRYH9IGAIG
NextGen Exports,Active,Germany,VAT:GEDH3RUZ9T7
Global Solutions,Inactive,Canada,BN:CA927KB416C
NextGen Solutions,Inactive,France,SIRET:FRXT39D4V4T
Global Logistics,Active,Australia,ABN:AUYNIG50ROL
Infinity Logistics,Inactive,USA,EIN:US2VCNFC4VH
Alpha Enterprises,Active,Australia,ABN:AU199DCT4BA
Universal Exports,Inactive,Australia,ABN:AU5ZSOILK65
Global Technologies,Inactive,Singapore,UEN:SIHAUU47EKL
Prime Logistics,Inactive,Japan,Corporate Number:JA7576NXG2N
Prime Solutions,Active,France,SIRET:FRKPFVO1R0U
Infinity Enterprises,Inactive,France,SIRET:FRIKVY7NAAU
International Technologies,Active,Canada,BN:CAE6AEU51V9
Alpha Enterprises,Inactive,Australia,ABN:AU1GJGU5WC9
Omega Logistics,Active,France,SIRET:FR89FMH5OKG
Prime Logistics,Active,Canada,BN:CA0N06SP6BN
TechWorld Solutions,Inactive,Australia,ABN:AUBIO7GXR86
Nova Technologies,Inactive,Australia,ABN:AUVUTBMIGT8
